date,value,retrieved_at
1895-02-01,6.57,2026-08-09T06:38:28.037897+00:00
1895-03-01,6.57,2026-08-09T06:38:28.037897+00:00
1895-04-01,6.85,2026-08-09T06:38:28.037897+00:00
1895-05-01,6.95,2026-08-09T06:38:28.037897+00:00
1895-06-01,7.04,2026-08-09T06:38:28.037897+00:00
1895-07-01,6.95,2026-08-09T06:38:28.037897+00:00
1895-08-01,6.85,2026-08-09T06:38:28.037897+00:00
1895-09-01,6.85,2026-08-09T06:38:28.037897+00:00
1895-10-01,6.85,2026-08-09T06:38:28.037897+00:00
1895-11-01,6.85,2026-08-09T06:38:28.037897+00:00
1895-12-01,6.76,2026-08-09T06:38:28.037897+00:00
1896-01-01,6.66,2026-08-09T06:38:28.037897+00:00
1896-02-01,6.57,2026-08-09T06:38:28.037897+00:00
1896-03-01,6.57,2026-08-09T06:38:28.037897+00:00
1896-04-01,6.47,2026-08-09T06:38:28.037897+00:00
1896-05-01,6.37,2026-08-09T06:38:28.037897+00:00
1896-06-01,6.28,2026-08-09T06:38:28.037897+00:00
1896-07-01,6.28,2026-08-09T06:38:28.037897+00:00
1896-08-01,6.28,2026-08-09T06:38:28.037897+00:00
1896-09-01,6.28,2026-08-09T06:38:28.037897+00:00
1896-10-01,6.47,2026-08-09T06:38:28.037897+00:00
1896-11-01,6.66,2026-08-09T06:38:28.037897+00:00
1896-12-01,6.66,2026-08-09T06:38:28.037897+00:00
1897-01-01,6.47,2026-08-09T06:38:28.037897+00:00
1897-02-01,6.47,2026-08-09T06:38:28.037897+00:00
1897-03-01,6.47,2026-08-09T06:38:28.037897+00:00
1897-04-01,6.37,2026-08-09T06:38:28.037897+00:00
1897-05-01,6.28,2026-08-09T06:38:28.037897+00:00
1897-06-01,6.28,2026-08-09T06:38:28.037897+00:00
1897-07-01,6.28,2026-08-09T06:38:28.037897+00:00
1897-08-01,6.57,2026-08-09T06:38:28.037897+00:00
1897-09-01,6.76,2026-08-09T06:38:28.037897+00:00
1897-10-01,6.66,2026-08-09T06:38:28.037897+00:00
1897-11-01,6.66,2026-08-09T06:38:28.037897+00:00
1897-12-01,6.66,2026-08-09T06:38:28.037897+00:00
1898-01-01,6.66,2026-08-09T06:38:28.037897+00:00
1898-02-01,6.76,2026-08-09T06:38:28.037897+00:00
1898-03-01,6.76,2026-08-09T06:38:28.037897+00:00
1898-04-01,6.76,2026-08-09T06:38:28.037897+00:00
1898-05-01,7.23,2026-08-09T06:38:28.037897+00:00
1898-06-01,6.76,2026-08-09T06:38:28.037897+00:00
1898-07-01,6.66,2026-08-09T06:38:28.037897+00:00
1898-08-01,6.66,2026-08-09T06:38:28.037897+00:00
1898-09-01,6.66,2026-08-09T06:38:28.037897+00:00
1898-10-01,6.66,2026-08-09T06:38:28.037897+00:00
1898-11-01,6.66,2026-08-09T06:38:28.037897+00:00
1898-12-01,6.76,2026-08-09T06:38:28.037897+00:00
1899-01-01,6.76,2026-08-09T06:38:28.037897+00:00
1899-02-01,6.95,2026-08-09T06:38:28.037897+00:00
1899-03-01,6.95,2026-08-09T06:38:28.037897+00:00
1899-04-01,7.04,2026-08-09T06:38:28.037897+00:00
1899-05-01,7.04,2026-08-09T06:38:28.037897+00:00
1899-06-01,7.14,2026-08-09T06:38:28.037897+00:00
1899-07-01,7.23,2026-08-09T06:38:28.037897+00:00
1899-08-01,7.33,2026-08-09T06:38:28.037897+00:00
1899-09-01,7.61,2026-08-09T06:38:28.037897+00:00
1899-10-01,7.71,2026-08-09T06:38:28.037897+00:00
1899-11-01,7.8,2026-08-09T06:38:28.037897+00:00
1899-12-01,7.9,2026-08-09T06:38:28.037897+00:00
1900-01-01,7.9,2026-08-09T06:38:28.037897+00:00
1900-02-01,7.99,2026-08-09T06:38:28.037897+00:00
1900-03-01,7.99,2026-08-09T06:38:28.037897+00:00
1900-04-01,7.99,2026-08-09T06:38:28.037897+00:00
1900-05-01,7.8,2026-08-09T06:38:28.037897+00:00
1900-06-01,7.71,2026-08-09T06:38:28.037897+00:00
1900-07-01,7.8,2026-08-09T06:38:28.037897+00:00
1900-08-01,7.71,2026-08-09T06:38:28.037897+00:00
1900-09-01,7.8,2026-08-09T06:38:28.037897+00:00
1900-10-01,7.71,2026-08-09T06:38:28.037897+00:00
1900-11-01,7.71,2026-08-09T06:38:28.037897+00:00
1900-12-01,7.61,2026-08-09T06:38:28.037897+00:00
1901-01-01,7.71,2026-08-09T06:38:28.037897+00:00
1901-02-01,7.61,2026-08-09T06:38:28.037897+00:00
1901-03-01,7.61,2026-08-09T06:38:28.037897+00:00
1901-04-01,7.52,2026-08-09T06:38:28.037897+00:00
1901-05-01,7.52,2026-08-09T06:38:28.037897+00:00
1901-06-01,7.52,2026-08-09T06:38:28.037897+00:00
1901-07-01,7.61,2026-08-09T06:38:28.037897+00:00
1901-08-01,7.71,2026-08-09T06:38:28.037897+00:00
1901-09-01,7.8,2026-08-09T06:38:28.037897+00:00
1901-10-01,7.8,2026-08-09T06:38:28.037897+00:00
1901-11-01,7.9,2026-08-09T06:38:28.037897+00:00
1901-12-01,7.99,2026-08-09T06:38:28.037897+00:00
1902-01-01,7.9,2026-08-09T06:38:28.037897+00:00
1902-02-01,7.9,2026-08-09T06:38:28.037897+00:00
1902-03-01,7.9,2026-08-09T06:38:28.037897+00:00
1902-04-01,7.99,2026-08-09T06:38:28.037897+00:00
1902-05-01,8.09,2026-08-09T06:38:28.037897+00:00
1902-06-01,8.18,2026-08-09T06:38:28.037897+00:00
1902-07-01,8.18,2026-08-09T06:38:28.037897+00:00
1902-08-01,8.09,2026-08-09T06:38:28.037897+00:00
1902-09-01,8.18,2026-08-09T06:38:28.037897+00:00
1902-10-01,8.75,2026-08-09T06:38:28.037897+00:00
1902-11-01,8.47,2026-08-09T06:38:28.037897+00:00
1902-12-01,8.56,2026-08-09T06:38:28.037897+00:00
1903-01-01,8.66,2026-08-09T06:38:28.037897+00:00
1903-02-01,8.66,2026-08-09T06:38:28.037897+00:00
1903-03-01,8.37,2026-08-09T06:38:28.037897+00:00
1903-04-01,8.37,2026-08-09T06:38:28.037897+00:00
1903-05-01,8.18,2026-08-09T06:38:28.037897+00:00
1903-06-01,8.18,2026-08-09T06:38:28.037897+00:00
1903-07-01,8.18,2026-08-09T06:38:28.037897+00:00
1903-08-01,8.18,2026-08-09T06:38:28.037897+00:00
1903-09-01,8.28,2026-08-09T06:38:28.037897+00:00
1903-10-01,8.18,2026-08-09T06:38:28.037897+00:00
1903-11-01,8.09,2026-08-09T06:38:28.037897+00:00
1903-12-01,8.09,2026-08-09T06:38:28.037897+00:00
1904-01-01,8.28,2026-08-09T06:38:28.037897+00:00
1904-02-01,8.47,2026-08-09T06:38:28.037897+00:00
1904-03-01,8.37,2026-08-09T06:38:28.037897+00:00
1904-04-01,8.28,2026-08-09T06:38:28.037897+00:00
1904-05-01,8.09,2026-08-09T06:38:28.037897+00:00
1904-06-01,8.09,2026-08-09T06:38:28.037897+00:00
1904-07-01,8.09,2026-08-09T06:38:28.037897+00:00
1904-08-01,8.18,2026-08-09T06:38:28.037897+00:00
1904-09-01,8.28,2026-08-09T06:38:28.037897+00:00
1904-10-01,8.28,2026-08-09T06:38:28.037897+00:00
1904-11-01,8.47,2026-08-09T06:38:28.037897+00:00
1904-12-01,8.47,2026-08-09T06:38:28.037897+00:00
1905-01-01,8.47,2026-08-09T06:38:28.037897+00:00
1905-02-01,8.47,2026-08-09T06:38:28.037897+00:00
1905-03-01,8.37,2026-08-09T06:38:28.037897+00:00
1905-04-01,8.37,2026-08-09T06:38:28.037897+00:00
1905-05-01,8.28,2026-08-09T06:38:28.037897+00:00
1905-06-01,8.28,2026-08-09T06:38:28.037897+00:00
1905-07-01,8.28,2026-08-09T06:38:28.037897+00:00
1905-08-01,8.37,2026-08-09T06:38:28.037897+00:00
1905-09-01,8.28,2026-08-09T06:38:28.037897+00:00
1905-10-01,8.28,2026-08-09T06:38:28.037897+00:00
1905-11-01,8.37,2026-08-09T06:38:28.037897+00:00
1905-12-01,8.47,2026-08-09T06:38:28.037897+00:00
1906-01-01,8.47,2026-08-09T06:38:28.037897+00:00
1906-02-01,8.47,2026-08-09T06:38:28.037897+00:00
1906-03-01,8.47,2026-08-09T06:38:28.037897+00:00
1906-04-01,8.47,2026-08-09T06:38:28.037897+00:00
1906-05-01,8.56,2026-08-09T06:38:28.037897+00:00
1906-06-01,8.56,2026-08-09T06:38:28.037897+00:00
1906-07-01,8.28,2026-08-09T06:38:28.037897+00:00
1906-08-01,8.47,2026-08-09T06:38:28.037897+00:00
1906-09-01,8.56,2026-08-09T06:38:28.037897+00:00
1906-10-01,8.75,2026-08-09T06:38:28.037897+00:00
1906-11-01,8.85,2026-08-09T06:38:28.037897+00:00
1906-12-01,8.94,2026-08-09T06:38:28.037897+00:00
1907-01-01,8.85,2026-08-09T06:38:28.037897+00:00
1907-02-01,9.04,2026-08-09T06:38:28.037897+00:00
1907-03-01,8.94,2026-08-09T06:38:28.037897+00:00
1907-04-01,8.94,2026-08-09T06:38:28.037897+00:00
1907-05-01,9.13,2026-08-09T06:38:28.037897+00:00
1907-06-01,9.23,2026-08-09T06:38:28.037897+00:00
1907-07-01,9.23,2026-08-09T06:38:28.037897+00:00
1907-08-01,9.23,2026-08-09T06:38:28.037897+00:00
1907-09-01,9.23,2026-08-09T06:38:28.037897+00:00
1907-10-01,9.32,2026-08-09T06:38:28.037897+00:00
1907-11-01,8.94,2026-08-09T06:38:28.037897+00:00
1907-12-01,8.75,2026-08-09T06:38:28.037897+00:00
1908-01-01,8.66,2026-08-09T06:38:28.037897+00:00
1908-02-01,8.56,2026-08-09T06:38:28.037897+00:00
1908-03-01,8.56,2026-08-09T06:38:28.037897+00:00
1908-04-01,8.66,2026-08-09T06:38:28.037897+00:00
1908-05-01,8.66,2026-08-09T06:38:28.037897+00:00
