date,value,retrieved_at
1917-05-01,9.14,2026-08-09T06:38:28.491494+00:00
1917-06-01,9.15,2026-08-09T06:38:28.491494+00:00
1917-07-01,9.0,2026-08-09T06:38:28.491494+00:00
1917-08-01,8.57,2026-08-09T06:38:28.491494+00:00
1917-09-01,7.95,2026-08-09T06:38:28.491494+00:00
1917-10-01,7.39,2026-08-09T06:38:28.491494+00:00
1917-11-01,6.75,2026-08-09T06:38:28.491494+00:00
1917-12-01,6.41,2026-08-09T06:38:28.491494+00:00
1918-01-01,6.64,2026-08-09T06:38:28.491494+00:00
1918-02-01,6.78,2026-08-09T06:38:28.491494+00:00
1918-03-01,6.69,2026-08-09T06:38:28.491494+00:00
1918-04-01,6.52,2026-08-09T06:38:28.491494+00:00
1918-05-01,6.58,2026-08-09T06:38:28.491494+00:00
